sample interval	    ABP	    ECG	    ICP
     (0.02 sec)	 (mmHg)	   (mV)	 (mmHg)
            451	 -0.081	 -0.050	 24.252
            452	  0.000	 -0.088	 24.948
            453	  0.314	 -0.031	 25.833
            454	 -0.035	 -0.026	 26.455
            455	 -0.105	 -0.022	 25.981
            456	  0.128	 -0.013	 24.916
            457	  0.372	  0.007	 22.692
            458	  0.209	  0.030	 21.997
            459	 -0.081	  0.059	 22.292
            460	  0.081	  0.095	 23.304
            461	  0.128	  0.099	 23.072
            462	 -0.012	  0.083	 22.070
            463	  0.349	  0.051	 21.343
            464	  0.035	  0.023	 21.470
            465	  0.035	  0.010	 21.965
            466	 -0.047	  0.003	 22.408
            467	 -0.035	  0.010	 22.640
            468	  0.035	  0.009	 22.924
            469	  0.081	  0.006	 23.188
            470	  0.070	  0.011	 22.903
            471	  0.093	  0.011	 21.997
            472	  0.047	  0.002	 21.522
            473	  0.430	  0.002	 21.512
            474	 -0.116	  0.010	 21.164
            475	  0.012	  0.021	 20.911
            476	  0.151	  0.055	 20.468
            477	  0.163	  0.017	 21.364
            478	 -0.081	 -0.004	 21.659
            479	  0.093	 -0.002	 22.903
            480	 -0.035	 -0.105	 23.451
            481	  0.035	  0.060	 23.230
            482	  0.000	  1.189	 23.462
            483	  0.047	  0.020	 23.451
            484	  0.128	 -0.099	 23.525
            485	 -0.070	 -0.038	 23.873
            486	  0.070	 -0.032	 23.831
            487	  0.070	 -0.027	 23.683
            488	  0.198	 -0.017	 21.986
            489	 -0.070	  0.002	 20.458
            490	 -0.012	  0.020	 18.993
            491	  0.128	  0.058	 18.908
            492	  0.070	  0.086	 19.161
            493	 -0.081	  0.095	 18.445
            494	  0.012	  0.081	 17.148
            495	 -0.012	  0.045	 17.064
            496	 -0.105	  0.020	 17.549
            497	  0.093	  0.007	 17.928
            498	  0.175	  0.002	 18.055
            499	  0.116	  0.009	 19.109
